run_id,run_type,model_name,model_family,model_type,dataset_name,is_time_series,column_size,row_size,evaluation_metric,evaluation_value,duration,sql,explainability
d93b165a-ddce-48cb-89f4-245810b60c01,inference,crypto-isotope-366706.sql_knowledge_base.lat_max_new_dnn_regressor_fbe32e64,regression,DNN_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,,,2.92,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.lat_max_new_dnn_regressor_fbe32e64`, (SELECT * FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code` WHERE number_of_panels_f > 282957))",None
5803369a-9fba-4fc3-96ff-b0d33b3308ac,inference,crypto-isotope-366706.sql_knowledge_base.lat_max_new_linear_reg_7e788b5b,regression,LINEAR_REG,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,,,5.29,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.lat_max_new_linear_reg_7e788b5b`, (SELECT * FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code` WHERE number_of_panels_f > 282957))",Intrinsic
d2193bc8-5904-470d-985a-c924787c50d2,inference,crypto-isotope-366706.sql_knowledge_base.lat_max_new_random_forest_regressor_e0978385,regression,RANDOM_FOREST_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,,,1.71,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.lat_max_new_random_forest_regressor_e0978385`, (SELECT * FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code` WHERE number_of_panels_f > 282957))",SHAP
ba994d4e-92c6-46a2-bfb1-28a63ff55e33,inference,crypto-isotope-366706.sql_knowledge_base.lat_max_random_forest_regressor_ce7c7659,regression,RANDOM_FOREST_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,,,2.27,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.lat_max_random_forest_regressor_ce7c7659`, (SELECT * FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code` WHERE number_of_panels_f > 282957))",SHAP
602ece98-d704-4068-b854-0b3727ffa927,inference,crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_boosted_tree_regressor_a3108c37,regression,BOOSTED_TREE_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,,,1.04,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_boosted_tree_regressor_a3108c37`, (SELECT * FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code` WHERE number_of_panels_n = 1386))",SHAP
9ee15032-3e3a-4844-86cb-e83c7fee3d27,inference,crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_dnn_linear_combined_regressor_de7635e3,regression,DNN_LINEAR_COMBINED_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,,,2.16,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_dnn_linear_combined_regressor_de7635e3`, (SELECT * FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code` WHERE number_of_panels_n = 1386))",None
8cc14654-6ef3-4dbf-a1a2-e21a9908781e,inference,crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_dnn_regressor_89d73a3e,regression,DNN_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,,,2.26,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_dnn_regressor_89d73a3e`, (SELECT * FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code` WHERE number_of_panels_n = 1386))",None
02e03d03-5ccf-4d7e-a174-802e5f8305b8,inference,crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_random_forest_regressor_d778d2ad,regression,RANDOM_FOREST_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,,,1.07,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.number_of_panels_w_new_random_forest_regressor_d778d2ad`, (SELECT * FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code` WHERE number_of_panels_n = 1386))",SHAP
80a3a925-343f-4f80-a851-f5df8f3919f9,inference,crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_boosted_tree_regressor_71e00b80,regression,BOOSTED_TREE_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,,,2.21,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_boosted_tree_regressor_71e00b80`, (SELECT * FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`))",SHAP
9a97b43d-5e2b-4bee-8e58-4e840ed257d6,inference,crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_dnn_linear_combined_regressor_5c8982e6,regression,DNN_LINEAR_COMBINED_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,,,4.3,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_dnn_linear_combined_regressor_5c8982e6`, (SELECT * FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`))",None
