dataset,table,task,algorithm,model_id,num_rows,num_features,r2,rmse,mae,fit_time,score_time
sunroof_solar,solar_potential_by_postal_code,regression,xgboost,1,11516,29,0.9963901042938232,4252.671630869235,2258.740966796875,0.09847503155469894,0.0007548850262537599
sunroof_solar,solar_potential_by_postal_code,regression,ada_boost,2,11516,29,0.9663148522377014,13769.177172220569,10288.24609375,3.068129301071167,0.010535036213696003
sunroof_solar,solar_potential_by_postal_code,regression,xgboost,11,11516,29,0.982725203037262,17241.893167514987,2467.07763671875,0.07105720788240433,0.000709600979462266
sunroof_solar,solar_potential_by_postal_code,regression,catboost,3,11516,29,0.99704509973526,3907.2027078205197,1324.792724609375,2.0626683235168457,0.010795422829687595
sunroof_solar,solar_potential_by_postal_code,regression,random_forest,4,11516,29,0.9990061521530151,2376.740204565909,1098.8067626953125,19.788833618164062,0.034028466790914536
sunroof_solar,solar_potential_by_postal_code,regression,svm,16,11516,29,-0.019401192665100098,,20475.1484375,3.8040244579315186,0.5887596011161804
sunroof_solar,solar_potential_by_postal_code,regression,bagging,5,11516,29,0.997803270816803,3384.53600955877,1303.437744140625,2.135474443435669,0.0066816299222409725
sunroof_solar,solar_potential_by_postal_code,regression,ada_boost,12,11516,29,0.8573911786079407,60366.878335723144,15840.45703125,0.9472883343696594,0.00761407520622015
sunroof_solar,solar_potential_by_postal_code,regression,svm,6,11516,29,-0.0823516845703125,78053.05108706513,52744.41796875,4.155595779418945,0.5959205031394958
sunroof_solar,solar_potential_by_postal_code,regression,elastic_net,7,11516,29,0.9991312623023987,2105.3727698438584,1257.1387939453125,1.0592297315597534,0.012082554399967194
sunroof_solar,solar_potential_by_postal_code,regression,bayesian_ridge,8,11516,29,1.0,0.07782485945624115,0.04191865026950836,0.18053415417671204,0.003912268206477165
sunroof_solar,solar_potential_by_postal_code,regression,catboost,13,11516,29,0.9981022477149963,2742.1641088745946,781.027099609375,1.9087426662445068,0.010903938673436642
sunroof_solar,solar_potential_by_postal_code,regression,linear,9,11516,29,1.0,0.09980677697668867,0.06807711720466614,0.0023520321119576693,0.008940721862018108
sunroof_solar,solar_potential_by_postal_code,regression,xgboost,21,11516,29,0.9960898756980896,,1049547.5,0.0933319702744484,0.0007465609814971685
sunroof_solar,solar_potential_by_postal_code,regression,stochastic_gradient_descent,10,11516,29,,,,0.12087369710206985,0.002196886111050844
sunroof_solar,solar_potential_by_postal_code,regression,elastic_net,17,11516,29,0.9913558959960938,7694.9518517012175,2528.373779296875,0.9508764147758484,0.035710446536540985
sunroof_solar,solar_potential_by_postal_code,regression,random_forest,14,11516,29,0.8444113731384277,76147.56537145491,2965.084716796875,25.337989807128906,0.03561001643538475
sunroof_solar,solar_potential_by_postal_code,regression,bagging,15,11516,29,0.9937871694564819,5718.073976436472,1036.6490478515625,2.657951831817627,0.007829113863408566
sunroof_solar,solar_potential_by_postal_code,regression,stochastic_gradient_descent,20,11516,29,,,,0.10560861229896545,0.0021849588956683874
sunroof_solar,solar_potential_by_postal_code,regression,bayesian_ridge,18,11516,29,0.9934642910957336,8456.084200148434,2486.6728515625,0.09159845858812332,0.015082989819347858
sunroof_solar,solar_potential_by_postal_code,regression,linear,19,11516,29,0.9882091283798218,14726.105255633616,3129.443603515625,0.002269196091219783,0.008511094376444817
sunroof_solar,solar_potential_by_postal_code,regression,ada_boost,22,11516,29,0.9663860201835632,,4642377.0,1.7834668159484863,0.010356645099818707
sunroof_solar,solar_potential_by_postal_code,regression,catboost,23,11516,29,0.9977726340293884,,588382.8125,1.8852989673614502,0.009526770561933517
sunroof_solar,solar_potential_by_postal_code,regression,random_forest,24,11516,29,0.9972215890884399,,545426.6875,20.155838012695312,0.04484180733561516
sunroof_solar,solar_potential_by_postal_code,regression,bagging,25,11516,29,0.994677722454071,,719650.875,2.1648879051208496,0.0064675952307879925
sunroof_solar,solar_potential_by_postal_code,regression,bagging,35,11516,29,0.9983125329017639,3463.9530885968998,1656.0128173828125,2.1413235664367676,0.00638124393299222
sunroof_solar,solar_potential_by_postal_code,regression,svm,26,11516,29,-0.09481728076934814,,21771048.0,4.16309118270874,0.5950082540512085
sunroof_solar,solar_potential_by_postal_code,regression,elastic_net,27,11516,29,0.9991482496261597,,581327.0625,0.9394509196281433,0.011856433935463428
sunroof_solar,solar_potential_by_postal_code,regression,bayesian_ridge,28,11516,29,1.0,13.026730565591492,9.640522956848145,0.1481504887342453,0.0042808582074940205
sunroof_solar,solar_potential_by_postal_code,regression,svm,36,11516,29,-0.045980095863342285,88210.07942406581,63610.578125,4.1286301612854,0.5892605185508728
sunroof_solar,solar_potential_by_postal_code,regression,linear,29,11516,29,1.0,150.38189666229775,114.00057220458984,0.0022487530950456858,0.0013595339842140675
sunroof_solar,solar_potential_by_postal_code,regression,stochastic_gradient_descent,30,11516,29,,,,0.10511118918657303,0.0021942290477454662
sunroof_solar,solar_potential_by_postal_code,regression,xgboost,31,11516,29,0.9866555333137512,10271.522964001006,3334.436279296875,0.09559445083141327,0.0007602049736306071
sunroof_solar,solar_potential_by_postal_code,regression,elastic_net,37,11516,29,0.9988577365875244,3167.5978280078425,1814.8485107421875,0.9232762455940247,0.011934872716665268
sunroof_solar,solar_potential_by_postal_code,regression,ada_boost,32,11516,29,0.9661915302276611,15159.145094628522,12097.2705078125,1.8349623680114746,0.010269897058606148
sunroof_solar,solar_potential_by_postal_code,regression,catboost,33,11516,29,0.9975893497467041,4592.91127717486,1820.0540771484375,1.879854679107666,0.009806484915316105
